Lambda,Accuracy
1e-06,72.2787878787879
1e-05,72.3636363636364
0.0001,72.5818181818182
0.001,72.8848484848485
0.01,72.3393939393939
0.1,72.569696969697
1,74.8363636363636
10,72.8242424242424
100,73.7333333333333
1000,70.9333333333333
10000,73.7090909090909
100000,73.8424242424242
1000000,72.5333333333333
