Lambda,Accuracy
1e-06,62.0430555555556
1e-05,63.7819444444444
0.0001,62.2708333333333
0.001,62.3666666666667
0.01,62.3847222222222
0.1,64.2180555555556
1,83.6652777777778
10,83.8847222222222
100,83.0013888888889
1000,84.6236111111111
10000,82.5763888888889
100000,84.0611111111111
1000000,85.5347222222222
