Lambda,Accuracy
1e-06,86.6666666666667
1e-05,86.56
0.0001,87.7066666666667
0.001,85.6533333333333
0.01,87.5866666666667
0.1,88.0266666666667
1,94.3333333333333
10,94.32
100,93.72
1000,93.76
10000,92.88
100000,93.9866666666667
1000000,92.7866666666667
