Lambda,Accuracy
1e-06,57.0654205607477
1e-05,57.8691588785047
0.0001,57.4579439252336
0.001,57.6915887850467
0.01,56.981308411215
0.1,58.6261682242991
1,58.1775700934579
10,56.6822429906542
100,56.2242990654206
1000,56.9065420560748
10000,57.0280373831776
100000,56.7476635514019
1000000,56.588785046729
