Lambda,Accuracy
1e-06,88.8466666666667
1e-05,88.4566666666667
0.0001,86.8833333333333
0.001,87.34
0.01,86.0866666666667
0.1,87.3666666666667
1,86.1833333333333
10,93.4466666666667
100,92.64
1000,93.0566666666667
10000,93.1866666666667
100000,93.5866666666667
1000000,92.95
