Lambda,Accuracy
1e-06,63.0636461704423
1e-05,64.2966558791802
0.0001,63.6817691477886
0.001,63.2535059331176
0.01,65.4789644012945
0.1,72.3311758360302
1,72.9029126213592
10,72.7162891046386
100,72.8727076591154
1000,72.6364617044229
10000,72.6159654800431
100000,73.0539374325782
1000000,72.5329018338727
