Lambda,Accuracy
1e-06,75.1638888888889
1e-05,73.8652777777778
0.0001,74.6597222222222
0.001,74.3444444444444
0.01,74.8402777777778
0.1,75.0625
1,77.9777777777778
10,84.1027777777778
100,83.4222222222222
1000,83.3194444444444
10000,82.8458333333333
100000,83.6972222222222
1000000,84.4347222222222
