Lambda,Accuracy
1e-06,67.369696969697
1e-05,66.6181818181818
0.0001,66.0848484848485
0.001,66.7272727272727
0.01,66.9818181818182
0.1,67.1636363636364
1,72.8606060606061
10,73.7575757575758
100,72.8121212121212
1000,73.4666666666667
10000,73.0424242424242
100000,71.5757575757576
1000000,75.4060606060606
