Lambda,Accuracy
1e-06,90.24
1e-05,90.2933333333333
0.0001,89.6533333333333
0.001,91.2933333333334
0.01,91.6
0.1,90.7866666666667
1,85.92
10,94.4
100,93.52
1000,93.8133333333333
10000,93.5866666666667
100000,93.3866666666667
1000000,94.56
