Lambda,Accuracy
1e-06,68.375
1e-05,67.405
0.0001,67.81
0.001,67.755
0.01,68.08
0.1,67.35
1,70.66
10,70.815
100,70.985
1000,70.915
10000,71.155
100000,70.77
1000000,70.325
