Lambda,Accuracy
1e-06,57.0560747663551
1e-05,58.0560747663551
0.0001,58.2242990654206
0.001,58.0654205607477
0.01,57.0747663551402
0.1,57.6915887850467
1,56.7663551401869
10,57.214953271028
100,56.3364485981308
1000,56.7570093457944
10000,56.8785046728972
100000,56.9252336448598
1000000,56.5420560747663
