Lambda,Accuracy
1e-06,70.5954692556634
1e-05,71.9946062567422
0.0001,71.2092772384035
0.001,71.1596548004315
0.01,71.4552319309601
0.1,71.1618122977346
1,71.4412081984898
10,72.4757281553398
100,72.4347357065804
1000,72.6235167206041
10000,72.3732470334412
100000,72.2761596548004
1000000,72.6289104638619
